기준년월,지자체,방문자 구분,방문자수
202310,오륜동,전체방문자(a+b+c),1333844.0
202311,한강로동,현지인방문자(a),1388754.0
202311,한강로동,외지인방문자(b),2762960.0
202311,한강로동,외국인방문자(c),41436.0
202311,한강로동,외부방문자(b+c),2804396.0
202311,한강로동,전체방문자(a+b+c),4193150.0
202311,이태원1동,현지인방문자(a),359076.0
202311,이태원1동,외지인방문자(b),596956.0
202311,이태원1동,외국인방문자(c),31056.0
202311,이태원1동,외부방문자(b+c),628013.0
202311,이태원1동,전체방문자(a+b+c),987088.0
202311,한남동,현지인방문자(a),739361.0
202311,한남동,외지인방문자(b),1358298.0
202311,한남동,외국인방문자(c),32320.0
202311,한남동,외부방문자(b+c),1390617.0
202311,한남동,전체방문자(a+b+c),2129978.0
202311,오륜동,현지인방문자(a),469942.0
202311,오륜동,외지인방문자(b),545724.0
202311,오륜동,외국인방문자(c),4615.0
202311,오륜동,외부방문자(b+c),550338.0
202311,오륜동,전체방문자(a+b+c),1020280.0
202312,한강로동,현지인방문자(a),1377212.0
202312,한강로동,외지인방문자(b),3019086.0
202312,한강로동,외국인방문자(c),39359.0
202312,한강로동,외부방문자(b+c),3058445.0
202312,한강로동,전체방문자(a+b+c),4435656.0
202312,이태원1동,현지인방문자(a),334624.0
202312,이태원1동,외지인방문자(b),712680.0
202312,이태원1동,외국인방문자(c),26330.0
202312,이태원1동,외부방문자(b+c),739010.0
202312,이태원1동,전체방문자(a+b+c),1073635.0
202312,한남동,현지인방문자(a),707553.0
202312,한남동,외지인방문자(b),1483321.0
202312,한남동,외국인방문자(c),33593.0
202312,한남동,외부방문자(b+c),1516914.0
202312,한남동,전체방문자(a+b+c),2224467.0
202312,오륜동,현지인방문자(a),443884.0
202312,오륜동,외지인방문자(b),604712.0
202312,오륜동,외국인방문자(c),5505.0
202312,오륜동,외부방문자(b+c),610218.0
202312,오륜동,전체방문자(a+b+c),1054102.0
202401,한강로동,현지인방문자(a),1406489.0
202401,한강로동,외지인방문자(b),2752841.0
202401,한강로동,외국인방문자(c),26009.0
202401,한강로동,외부방문자(b+c),2778850.0
202401,한강로동,전체방문자(a+b+c),4185339.0
202401,이태원1동,현지인방문자(a),333056.0
202401,이태원1동,외지인방문자(b),597478.0
202401,이태원1동,외국인방문자(c),19960.0
202401,이태원1동,외부방문자(b+c),617438.0
202401,이태원1동,전체방문자(a+b+c),950495.0
202401,한남동,현지인방문자(a),735756.0
202401,한남동,외지인방문자(b),1302444.0
202401,한남동,외국인방문자(c),23378.0
202401,한남동,외부방문자(b+c),1325823.0
202401,한남동,전체방문자(a+b+c),2061579.0
202401,오륜동,현지인방문자(a),414040.0
202401,오륜동,외지인방문자(b),417798.0
202401,오륜동,외국인방문자(c),1279.0
202401,오륜동,외부방문자(b+c),419078.0
202401,오륜동,전체방문자(a+b+c),833117.0
202402,한강로동,현지인방문자(a),1245475.0
202402,한강로동,외지인방문자(b),2714551.0
202402,한강로동,외국인방문자(c),26363.0
202402,한강로동,외부방문자(b+c),2740914.0
202402,한강로동,전체방문자(a+b+c),3986389.0
202402,이태원1동,현지인방문자(a),306162.0
202402,이태원1동,외지인방문자(b),603498.0
202402,이태원1동,외국인방문자(c),19807.0
202402,이태원1동,외부방문자(b+c),623305.0
202402,이태원1동,전체방문자(a+b+c),929468.0
202402,한남동,현지인방문자(a),660870.0
202402,한남동,외지인방문자(b),1229204.0
202402,한남동,외국인방문자(c),23374.0
202402,한남동,외부방문자(b+c),1252578.0
202402,한남동,전체방문자(a+b+c),1913448.0
202402,오륜동,현지인방문자(a),383078.0
202402,오륜동,외지인방문자(b),377958.0
202402,오륜동,외국인방문자(c),4723.0
202402,오륜동,외부방문자(b+c),382681.0
202402,오륜동,전체방문자(a+b+c),765760.0
202403,한강로동,현지인방문자(a),1450694.0
202403,한강로동,외지인방문자(b),3096726.0
202403,한강로동,외국인방문자(c),62098.0
202403,한강로동,외부방문자(b+c),3158824.0
202403,한강로동,전체방문자(a+b+c),4609518.0
202403,이태원1동,현지인방문자(a),352506.0
202403,이태원1동,외지인방문자(b),724038.0
202403,이태원1동,외국인방문자(c),39578.0
202403,이태원1동,외부방문자(b+c),763616.0
202403,이태원1동,전체방문자(a+b+c),1116122.0
202403,한남동,현지인방문자(a),715421.0
202403,한남동,외지인방문자(b),1500202.0
202403,한남동,외국인방문자(c),45889.0
202403,한남동,외부방문자(b+c),1546090.0
202403,한남동,전체방문자(a+b+c),2261511.0
202403,오륜동,현지인방문자(a),427200.0
202403,오륜동,외지인방문자(b),590202.0
202403,오륜동,외국인방문자(c),10524.0
202403,오륜동,외부방문자(b+c),600726.0
202403,오륜동,전체방문자(a+b+c),1027925.0
202404,한강로동,현지인방문자(a),1387253.0
202404,한강로동,외지인방문자(b),2780614.0
202404,한강로동,외국인방문자(c),61895.0
202404,한강로동,외부방문자(b+c),2842508.0
202404,한강로동,전체방문자(a+b+c),4229761.0
202404,이태원1동,현지인방문자(a),341495.0
202404,이태원1동,외지인방문자(b),665063.0
202404,이태원1동,외국인방문자(c),45219.0
202404,이태원1동,외부방문자(b+c),710282.0
202404,이태원1동,전체방문자(a+b+c),1051777.0
202404,한남동,현지인방문자(a),689714.0
202404,한남동,외지인방문자(b),1447316.0
202404,한남동,외국인방문자(c),55889.0
202404,한남동,외부방문자(b+c),1503206.0
202404,한남동,전체방문자(a+b+c),2192919.0
202404,오륜동,현지인방문자(a),490763.0
202404,오륜동,외지인방문자(b),534072.0
202404,오륜동,외국인방문자(c),3741.0
202404,오륜동,외부방문자(b+c),537813.0
202404,오륜동,전체방문자(a+b+c),1028576.0
