기준년월,지자체,방문자 구분,방문자수
202403,여의동,전체방문자(a+b+c),6708715.0
202403,당산2동,현지인방문자(a),803229.0
202403,당산2동,외지인방문자(b),711022.0
202403,당산2동,외국인방문자(c),4819.0
202403,당산2동,외부방문자(b+c),715840.0
202403,당산2동,전체방문자(a+b+c),1519069.0
202403,양평2동,현지인방문자(a),520188.0
202403,양평2동,외지인방문자(b),499110.0
202403,양평2동,외국인방문자(c),4400.0
202403,양평2동,외부방문자(b+c),503511.0
202403,양평2동,전체방문자(a+b+c),1023698.0
202404,여의동,현지인방문자(a),2697594.0
202404,여의동,외지인방문자(b),4324408.0
202404,여의동,외국인방문자(c),86852.0
202404,여의동,외부방문자(b+c),4411259.0
202404,여의동,전체방문자(a+b+c),7108853.0
202404,당산2동,현지인방문자(a),815532.0
202404,당산2동,외지인방문자(b),799068.0
202404,당산2동,외국인방문자(c),5415.0
202404,당산2동,외부방문자(b+c),804482.0
202404,당산2동,전체방문자(a+b+c),1620014.0
202404,양평2동,현지인방문자(a),529336.0
202404,양평2동,외지인방문자(b),532637.0
202404,양평2동,외국인방문자(c),4007.0
202404,양평2동,외부방문자(b+c),536644.0
202404,양평2동,전체방문자(a+b+c),1065981.0
202405,여의동,현지인방문자(a),2638472.0
202405,여의동,외지인방문자(b),3999314.0
202405,여의동,외국인방문자(c),71430.0
202405,여의동,외부방문자(b+c),4070743.0
202405,여의동,전체방문자(a+b+c),6709215.0
202405,당산2동,현지인방문자(a),817660.0
202405,당산2동,외지인방문자(b),720360.0
202405,당산2동,외국인방문자(c),4327.0
202405,당산2동,외부방문자(b+c),724686.0
202405,당산2동,전체방문자(a+b+c),1542346.0
202405,양평2동,현지인방문자(a),541562.0
202405,양평2동,외지인방문자(b),523089.0
202405,양평2동,외국인방문자(c),3722.0
202405,양평2동,외부방문자(b+c),526811.0
202405,양평2동,전체방문자(a+b+c),1068373.0
