기준년월,지자체,방문자 구분,방문자수
202311,청담동,현지인방문자(a),1177936
202311,청담동,외지인방문자(b),1441503
202311,청담동,외국인방문자(c),25252
202311,청담동,외부방문자(b+c),1466755
202311,청담동,전체방문자(a+b+c),2644691
202311,삼성1동,현지인방문자(a),1461072
202311,삼성1동,외지인방문자(b),2240728
202311,삼성1동,외국인방문자(c),65450
202311,삼성1동,외부방문자(b+c),2306178
202311,삼성1동,전체방문자(a+b+c),3767250
202312,신사동,현지인방문자(a),937195
202312,신사동,외지인방문자(b),1667130
202312,신사동,외국인방문자(c),35771
202312,신사동,외부방문자(b+c),1702902
202312,신사동,전체방문자(a+b+c),2640097
202312,압구정동,현지인방문자(a),1263255
202312,압구정동,외지인방문자(b),2085968
202312,압구정동,외국인방문자(c),46657
202312,압구정동,외부방문자(b+c),2132626
202312,압구정동,전체방문자(a+b+c),3395881
202312,청담동,현지인방문자(a),1151913
202312,청담동,외지인방문자(b),1471631
202312,청담동,외국인방문자(c),24720
202312,청담동,외부방문자(b+c),1496351
202312,청담동,전체방문자(a+b+c),2648264
202312,삼성1동,현지인방문자(a),1451429
202312,삼성1동,외지인방문자(b),2331088
202312,삼성1동,외국인방문자(c),58743
202312,삼성1동,외부방문자(b+c),2389831
202312,삼성1동,전체방문자(a+b+c),3841260
202401,신사동,현지인방문자(a),952623
202401,신사동,외지인방문자(b),1555043
202401,신사동,외국인방문자(c),24725
202401,신사동,외부방문자(b+c),1579768
202401,신사동,전체방문자(a+b+c),2532391
202401,압구정동,현지인방문자(a),1255373
202401,압구정동,외지인방문자(b),1862612
202401,압구정동,외국인방문자(c),30181
202401,압구정동,외부방문자(b+c),1892793
202401,압구정동,전체방문자(a+b+c),3148166
202401,청담동,현지인방문자(a),1170354
202401,청담동,외지인방문자(b),1378545
202401,청담동,외국인방문자(c),16360
202401,청담동,외부방문자(b+c),1394905
202401,청담동,전체방문자(a+b+c),2565259
202401,삼성1동,현지인방문자(a),1514314
202401,삼성1동,외지인방문자(b),2051315
202401,삼성1동,외국인방문자(c),41606
202401,삼성1동,외부방문자(b+c),2092921
202401,삼성1동,전체방문자(a+b+c),3607235
202402,신사동,현지인방문자(a),835968
202402,신사동,외지인방문자(b),1379210
202402,신사동,외국인방문자(c),23206
202402,신사동,외부방문자(b+c),1402416
202402,신사동,전체방문자(a+b+c),2238384
202402,압구정동,현지인방문자(a),1112531
202402,압구정동,외지인방문자(b),1681466
202402,압구정동,외국인방문자(c),28555
202402,압구정동,외부방문자(b+c),1710022
202402,압구정동,전체방문자(a+b+c),2822553
202402,청담동,현지인방문자(a),1023421
202402,청담동,외지인방문자(b),1225388
202402,청담동,외국인방문자(c),15399
202402,청담동,외부방문자(b+c),1240787
202402,청담동,전체방문자(a+b+c),2264208
202402,삼성1동,현지인방문자(a),1249598
202402,삼성1동,외지인방문자(b),1859690
202402,삼성1동,외국인방문자(c),42677
202402,삼성1동,외부방문자(b+c),1902367
202402,삼성1동,전체방문자(a+b+c),3151965
202403,신사동,현지인방문자(a),992946
202403,신사동,외지인방문자(b),1626636
202403,신사동,외국인방문자(c),46255
202403,신사동,외부방문자(b+c),1672890
202403,신사동,전체방문자(a+b+c),2665837
202403,압구정동,현지인방문자(a),1329472
202403,압구정동,외지인방문자(b),2013112
202403,압구정동,외국인방문자(c),59438
202403,압구정동,외부방문자(b+c),2072551
202403,압구정동,전체방문자(a+b+c),3402022
202403,청담동,현지인방문자(a),1224748
202403,청담동,외지인방문자(b),1505410
202403,청담동,외국인방문자(c),31487
202403,청담동,외부방문자(b+c),1536897
202403,청담동,전체방문자(a+b+c),2761645
202403,삼성1동,현지인방문자(a),1529276
202403,삼성1동,외지인방문자(b),2320668
202403,삼성1동,외국인방문자(c),86615
202403,삼성1동,외부방문자(b+c),2407283
202403,삼성1동,전체방문자(a+b+c),3936559
202404,신사동,현지인방문자(a),978422
202404,신사동,외지인방문자(b),1527564
202404,신사동,외국인방문자(c),53124
202404,신사동,외부방문자(b+c),1580689
202404,신사동,전체방문자(a+b+c),2559110
202404,압구정동,현지인방문자(a),1262538
202404,압구정동,외지인방문자(b),1843737
202404,압구정동,외국인방문자(c),66598
202404,압구정동,외부방문자(b+c),1910335
202404,압구정동,전체방문자(a+b+c),3172872
202404,청담동,현지인방문자(a),1236410
202404,청담동,외지인방문자(b),1518556
202404,청담동,외국인방문자(c),38922
202404,청담동,외부방문자(b+c),1557478
202404,청담동,전체방문자(a+b+c),2793888
202404,삼성1동,현지인방문자(a),1438678
202404,삼성1동,외지인방문자(b),2018163
202404,삼성1동,외국인방문자(c),97228
202404,삼성1동,외부방문자(b+c),2115391
202404,삼성1동,전체방문자(a+b+c),3554070
